Date Reported,Date Occurred,Time Occurred,Area Name,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Description,Address,Cross Street,Location
01/03/2019,01/03/2019,1650,Rampart,3101 3401 3701 3009 3027 3036,22,M,B,STREET,6TH                          ST,LAFAYETTE PARK               PL,"(34.0629, -118.2823)"
01/06/2019,01/06/2019,835,Foothill,3004 3027 3036 3101 3401 3701 4026,43,M,H,STREET,OSBORNE                      ST,SAN FERNANDO                 RD,"(34.2542, -118.4095)"
01/06/2019,01/06/2019,1800,77th Street,4025 3036 3003 3027 3101 3602 3601,53,M,H,STREET,AVALON                       ST,75TH                         ST,"(33.9722, -118.2652)"
01/07/2019,01/06/2019,2345,Harbor,4025 3037 3027 3101 3004,40,M,H,STREET,2ND                          ST,MEYLER                       ST,"(33.7424, -118.2967)"
01/10/2019,01/10/2019,1715,Newton,3101 3401 3701 3003 3027 3029 3036 1402,78,M,H,STREET,23RD                         ST,FLOWER                       ST,"(34.0302, -118.273)"
01/11/2019,01/10/2019,2023,Foothill,1402 3003 3027 3037 3029 3101 3401 3701 4026 1218,27,F,B,STREET,LAUREL CANYON                BL,PAXTON                       ST,"(34.2663, -118.4401)"
01/12/2019,01/11/2019,2350,Olympic,1402 3003 3027 3029 3035 3037 3101 3401 3701 4027,58,M,W,STREET,WESTMORELAND                 AV,18TH                         ST,"(34.0416, -118.2896)"
01/15/2019,01/15/2019,1600,Devonshire,3004 3027 3037 3103 3401 3701 4026,82,M,X,STREET,PARTHENIA                    ST,WINNETKA                     AV,"(34.2282, -118.5711)"
01/16/2019,01/15/2019,2205,West LA,3003 3035 3037 3101 3401 3701 4027 3027,60,F,W,STREET,PACIFIC COAST                HY,TEMESCAL CAN                 RD,"(34.043, -118.5398)"
01/16/2019,01/16/2019,615,Northeast,0605 3101 3401 3701 4024 3003 3027 3029 3034,58,F,H,STREET,HYPERION                     AV,DE LONGPRE                   AV,"(34.0972, -118.2757)"
01/16/2019,01/16/2019,1717,Southwest,3501 4025 3037 3003 3029 3101 3027,20,M,H,STREET,HOBART                       BL,ADAMS                        BL,"(34.0327, -118.3078)"
01/18/2019,01/18/2019,745,Olympic,3009 3027 3035 3036 3101 3401 3701 4027,27,M,O,STREET,8TH                          ST,SERRANO                      AV,"(34.0577, -118.3066)"
