"COURSEID","ENROLLED","GES","INSTRUCTOR","MAXENROLL","QUARTER","SECTION","STATUS"
"CMPSC     5A -1","0","C (L&S), QNT (L&S)","CONRAD P T","150","20254","0100",""
"CMPSC     5A -1","0","C (L&S), QNT (L&S)","","38","20254","0101",""
"CMPSC     5A -1","0","C (L&S), QNT (L&S)","","37","20254","0102",""
"CMPSC     5A -1","0","C (L&S), QNT (L&S)","","38","20254","0103",""
"CMPSC     5A -1","0","C (L&S), QNT (L&S)","","37","20254","0104",""
"CMPSC     8  -1","0","C (L&S), QNT (L&S)","KHARITONOVA Y","150","20254","0100",""
"CMPSC     8  -1","0","C (L&S), QNT (L&S)","","25","20254","0101",""
"CMPSC     8  -1","0","C (L&S), QNT (L&S)","","25","20254","0102",""
"CMPSC     8  -1","0","C (L&S), QNT (L&S)","","25","20254","0103",""
"CMPSC     8  -1","0","C (L&S), QNT (L&S)","","25","20254","0104",""
"CMPSC     8  -1","0","C (L&S), QNT (L&S)","","25","20254","0105",""
"CMPSC     8  -1","0","C (L&S), QNT (L&S)","","25","20254","0106",""
"CMPSC     8  -2","0","C (L&S), QNT (L&S)","KHARITONOVA Y","100","20254","0200",""
"CMPSC     8  -2","0","C (L&S), QNT (L&S)","","33","20254","0201",""
"CMPSC     8  -2","0","C (L&S), QNT (L&S)","","33","20254","0202",""
"CMPSC     8  -2","0","C (L&S), QNT (L&S)","","34","20254","0203",""
"CMPSC     9  -1","0","","WANG R K","200","20254","0100",""
"CMPSC     9  -1","0","","","34","20254","0101",""
"CMPSC     9  -1","0","","","34","20254","0102",""
"CMPSC     9  -1","0","","","33","20254","0103",""
"CMPSC     9  -1","0","","","33","20254","0104",""
"CMPSC     9  -1","0","","","33","20254","0105",""
"CMPSC     9  -1","0","","","33","20254","0106",""
"CMPSC    16  -1","0","","MAJEDI M","150","20254","0100",""
"CMPSC    16  -1","0","","","25","20254","0103",""
"CMPSC    16  -1","0","","","25","20254","0104",""
"CMPSC    16  -1","0","","","25","20254","0105",""
"CMPSC    16  -1","0","","","25","20254","0106",""
"CMPSC    16  -1","0","","","25","20254","0107","Closed"
"CMPSC    16  -1","0","","","25","20254","0108","Closed"
"CMPSC    16  -2","0","","MAJEDI M","100","20254","0200",""
"CMPSC    16  -2","0","","","33","20254","0201",""
"CMPSC    16  -2","0","","","33","20254","0202",""
"CMPSC    16  -2","0","","","34","20254","0203",""
"CMPSC    24  -1","0","","BOYLAND P","150","20254","0100",""
"CMPSC    24  -1","0","","","37","20254","0101",""
"CMPSC    24  -1","0","","","38","20254","0102",""
"CMPSC    24  -1","0","","","37","20254","0103",""
"CMPSC    24  -1","0","","","38","20254","0104",""
"CMPSC    32  -1","0","","NASIR N","130","20254","0100",""
"CMPSC    32  -1","0","","","33","20254","0101",""
"CMPSC    32  -1","0","","","32","20254","0102",""
"CMPSC    32  -1","0","","","33","20254","0103",""
"CMPSC    32  -1","0","","","32","20254","0104",""
"CMPSC    40  -1","0","","MATNI Z A","145","20254","0100",""
"CMPSC    40  -1","0","","","36","20254","0101",""
"CMPSC    40  -1","0","","","37","20254","0102",""
"CMPSC    40  -1","0","","","36","20254","0103",""
"CMPSC    40  -1","0","","","36","20254","0104",""
"CMPSC    99  -1","0","","","5","20254","0100",""
"CMPSC   110  -1","0","","MATNI Z A","50","20254","0100",""
"CMPSC   111  -1","0","","GIBOU F G","150","20254","0100",""
"CMPSC   111  -1","0","","","38","20254","0101",""
"CMPSC   111  -1","0","","","38","20254","0102",""
"CMPSC   111  -1","0","","","37","20254","0103",""
