"COURSEID","ENROLLED","GES","INSTRUCTOR","MAXENROLL","QUARTER","SECTION","STATUS"
"CMPSC    16  -1","17","","AGHAMOHAMMADI","75","20253","0100",""
"CMPSC    16  -1","13","","","38","20253","0101",""
"CMPSC    16  -1","4","","","37","20253","0102",""
"CMPSC    24  -1","16","","BOYLAND P","35","20253","0100",""
"CMPSC    24  -1","16","","","35","20253","0101",""
"CMPSC    40  -1","9","","MAJEDI M","35","20253","0100",""
"CMPSC    40  -1","9","","","35","20253","0101",""
"CMPSC    64  -1","17","","MATNI Z A","35","20253","0100",""
"CMPSC    64  -1","17","","","35","20253","0101",""
"CMPSC    99  -1","0","","","5","20253","0100",""
"CMPSC   111  -1","26","","GIBOU F G","35","20253","0100",""
"CMPSC   111  -1","26","","","35","20253","0101",""
"CMPSC   162  -1","14","","LIU JUNRUI","35","20253","0100",""
"CMPSC   162  -1","14","","","35","20253","0101",""
"CMPSC   192  -1","0","","","5","20253","0100",""
"CMPSC   193  -1","0","","","90","20253","0100",""
"CMPSC   196  -1","0","","","5","20253","0100",""
"CMPSC   199  -1","0","","","0","20253","0100",""
"CMPSC   596  -1","0","","","5","20253","0100",""
"CMPSC   597  -1","0","","","0","20253","0100",""
"CMPSC   598  -1","0","","","0","20253","0100",""
"CMPSC   599  -1","0","","","40","20253","0100",""
"ANTH      2  -1","80","NWC (L&S), D (ENGR), D (L&S), NWC (ENGR)","WALSH C","80","20253","0100",""
"ANTH      2  -1","20","NWC (L&S), D (ENGR), D (L&S), NWC (ENGR)","LINVILLE D D","20","20253","0101",""
"ANTH      2  -1","20","NWC (L&S), D (ENGR), D (L&S), NWC (ENGR)","LINVILLE D D","20","20253","0102",""
"ANTH      2  -1","20","NWC (L&S), D (ENGR), D (L&S), NWC (ENGR)","LINVILLE D D","20","20253","0103",""
"ANTH      2  -1","20","NWC (L&S), D (ENGR), D (L&S), NWC (ENGR)","LINVILLE D D","20","20253","0104",""
"ANTH      2  -2","10","NWC (L&S), D (ENGR), D (L&S), NWC (ENGR)","LINVILLE D D","20","20253","0200",""
"ANTH      3SS-1","2","D (L&S), NWC (L&S), D (ENGR), NWC (ENGR)","NOE S J","19","20253","0100",""
"ANTH      5  -1","58","C (L&S)","DAVISON R J","60","20253","0100",""
"ANTH      5  -1","15","C (L&S)","PARMEGGIANI C","15","20253","0101",""
"ANTH      5  -1","15","C (L&S)","PARMEGGIANI C","15","20253","0102",""
"ANTH      5  -1","15","C (L&S)","PARMEGGIANI C","15","20253","0103",""
"ANTH      5  -1","13","C (L&S)","PARMEGGIANI C","15","20253","0104",""
"ANTH     99  -1","0","","","10","20253","0100",""
"ANTH    102  -1","30","","SALDIVAR TANA","30","20253","0100",""
"ANTH    109  -1","30","D (ENGR), D (L&S)","DEAN J W","30","20253","0100",""
"ANTH    111  -1","27","","USMAN R","40","20253","0100",""
