"COURSEID","ENROLLED","GES","INSTRUCTOR","MAXENROLL","QUARTER","SECTION","STATUS"
"CMPSC     5A -1","128","C (L&S), QNT (L&S)","CONRAD P T","150","20252","0100",""
"CMPSC     5A -1","23","C (L&S), QNT (L&S)","","30","20252","0101",""
"CMPSC     5A -1","26","C (L&S), QNT (L&S)","","30","20252","0102",""
"CMPSC     5A -1","30","C (L&S), QNT (L&S)","","30","20252","0103",""
"CMPSC     5A -1","25","C (L&S), QNT (L&S)","","30","20252","0104",""
"CMPSC     5A -1","24","C (L&S), QNT (L&S)","","30","20252","0105",""
"CMPSC     5B -1","0","C (L&S), QNT (L&S)","TANNA A A","77","20252","0100","Closed"
"CMPSC     5B -1","0","C (L&S), QNT (L&S)","","26","20252","0101","Closed"
"CMPSC     5B -1","0","C (L&S), QNT (L&S)","","25","20252","0102","Closed"
"CMPSC     5B -1","0","C (L&S), QNT (L&S)","","26","20252","0103","Closed"
"CMPSC     9  -1","166","","KHARITONOVA Y","300","20252","0100",""
"CMPSC     9  -1","0","","","38","20252","0101","Closed"
"CMPSC     9  -1","0","","","37","20252","0102","Closed"
"CMPSC     9  -1","47","","","50","20252","0103",""
"CMPSC     9  -1","23","","","50","20252","0104",""
"CMPSC     9  -1","37","","","50","20252","0105",""
"CMPSC     9  -1","14","","","50","20252","0106",""
"CMPSC     9  -1","13","","","50","20252","0107",""
"CMPSC     9  -1","32","","","50","20252","0108",""
"CMPSC    16  -1","113","","MAJEDI M","150","20252","0100","Closed"
"CMPSC    16  -1","8","","","33","20252","0101",""
"CMPSC    16  -1","22","","","33","20252","0102",""
"CMPSC    16  -1","29","","","33","20252","0103",""
"CMPSC    16  -1","22","","","33","20252","0104",""
"CMPSC    16  -1","32","","","33","20252","0105",""
"CMPSC    24  -1","146","","MIRZA D","149","20252","0100",""
"CMPSC    24  -1","30","","","30","20252","0101",""
"CMPSC    24  -1","30","","","30","20252","0102",""
"CMPSC    24  -1","30","","","30","20252","0103",""
"CMPSC    24  -1","29","","","30","20252","0104",""
"CMPSC    24  -1","27","","","29","20252","0105",""
"CMPSC    32  -1","133","","NASIR N","150","20252","0100",""
"CMPSC    32  -1","28","","","30","20252","0101",""
