id,title,Director
19995,Avatar,James Cameron
285,Pirates of the Caribbean: At World's End,Gore Verbinski
206647,Spectre,Sam Mendes
49026,The Dark Knight Rises,Christopher Nolan
49529,John Carter,Andrew Stanton
559,Spider-Man 3,Sam Raimi
38757,Tangled,Byron Howard
99861,Avengers: Age of Ultron,Joss Whedon
767,Harry Potter and the Half-Blood Prince,David Yates
209112,Batman v Superman: Dawn of Justice,Zack Snyder
1452,Superman Returns,Bryan Singer
10764,Quantum of Solace,Marc Forster
58,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski
57201,The Lone Ranger,Gore Verbinski
49521,Man of Steel,Zack Snyder
2454,The Chronicles of Narnia: Prince Caspian,Andrew Adamson
24428,The Avengers,Joss Whedon
1865,Pirates of the Caribbean: On Stranger Tides,Rob Marshall
41154,Men in Black 3,Barry Sonnenfeld
122917,The Hobbit: The Battle of the Five Armies,Peter Jackson
1930,The Amazing Spider-Man,Marc Webb
20662,Robin Hood,Ridley Scott
57158,The Hobbit: The Desolation of Smaug,Peter Jackson
2268,The Golden Compass,Chris Weitz
254,King Kong,Peter Jackson
597,Titanic,James Cameron
271110,Captain America: Civil War,Anthony Russo
44833,Battleship,Peter Berg
135397,Jurassic World,Colin Trevorrow
37724,Skyfall,Sam Mendes
558,Spider-Man 2,Sam Raimi
68721,Iron Man 3,Shane Black
12155,Alice in Wonderland,Tim Burton
36668,X-Men: The Last Stand,Brett Ratner
62211,Monsters University,Dan Scanlon
8373,Transformers: Revenge of the Fallen,Michael Bay
91314,Transformers: Age of Extinction,Michael Bay
68728,Oz: The Great and Powerful,Sam Raimi
102382,The Amazing Spider-Man 2,Marc Webb
20526,TRON: Legacy,Joseph Kosinski
49013,Cars 2,John Lasseter
44912,Green Lantern,Martin Campbell
10193,Toy Story 3,Lee Unkrich
534,Terminator Salvation,McG
168259,Furious 7,James Wan
72190,World War Z,Marc Forster
127585,X-Men: Days of Future Past,Bryan Singer
54138,Star Trek Into Darkness,J.J. Abrams
81005,Jack the Giant Slayer,Bryan Singer
64682,The Great Gatsby,Baz Luhrmann
9543,Prince of Persia: The Sands of Time,Mike Newell
68726,Pacific Rim,Guillermo del Toro
38356,Transformers: Dark of the Moon,Michael Bay
217,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg
105864,The Good Dinosaur,Peter Sohn
62177,Brave,Brenda Chapman
188927,Star Trek Beyond,Justin Lin
10681,WALL·E,Andrew Stanton
5174,Rush Hour 3,Brett Ratner
14161,2012,Roland Emmerich
17979,A Christmas Carol,Robert Zemeckis
76757,Jupiter Ascending,Lilly Wachowski
258489,The Legend of Tarzan,David Yates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson
246655,X-Men: Apocalypse,Bryan Singer
155,The Dark Knight,Christopher Nolan
14160,Up,Pete Docter
15512,Monsters vs Aliens,Conrad Vernon
1726,Iron Man,Jon Favreau
44826,Hugo,Martin Scorsese
8487,Wild Wild West,Barry Sonnenfeld
1735,The Mummy: Tomb of the Dragon Emperor,Rob Cohen
297761,Suicide Squad,David Ayer
2698,Evan Almighty,Tom Shadyac
137113,Edge of Tomorrow,Doug Liman
9804,Waterworld,Kevin Reynolds
14869,G.I. Joe: The Rise of Cobra,Stephen Sommers
150540,Inside Out,Pete Docter
278927,The Jungle Book,Jon Favreau
10138,Iron Man 2,Jon Favreau
58595,Snow White and the Huntsman,Rupert Sanders
102651,Maleficent,Robert Stromberg
119450,Dawn of the Planet of the Apes,Matt Reeves
79698,The Lovers,Roland Joffé
64686,47 Ronin,Carl Rinsch
100402,Captain America: The Winter Soldier,Anthony Russo
10192,Shrek Forever After,Mike Mitchell
158852,Tomorrowland,Brad Bird
177572,Big Hero 6,Chris Williams
82690,Wreck-It Ralph,Rich Moore
5255,The Polar Express,Robert Zemeckis
47933,Independence Day: Resurgence,Roland Emmerich
10191,How to Train Your Dragon,Chris Sanders
296,Terminator 3: Rise of the Machines,Jonathan Mostow
118340,Guardians of the Galaxy,James Gunn
157336,Interstellar,Christopher Nolan
27205,Inception,Christopher Nolan
315011,Shin Godzilla,Hideaki Anno
49051,The Hobbit: An Unexpected Journey,Peter Jackson
9799,The Fast and the Furious,Rob Cohen
4922,The Curious Case of Benjamin Button,David Fincher
49538,X-Men: First Class,Matthew Vaughn
131634,The Hunger Games: Mockingjay - Part 2,Francis Lawrence
27022,The Sorcerer's Apprentice,Jon Turteltaub
503,Poseidon,Wolfgang Petersen
241259,Alice Through the Looking Glass,James Bobin
810,Shrek the Third,Chris Miller
68735,Warcraft,Duncan Jones
87101,Terminator Genisys,Alan Taylor
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted
676,Pearl Harbor,Michael Bay
1858,Transformers,Michael Bay
1966,Alexander,Oliver Stone
675,Harry Potter and the Order of the Phoenix,David Yates
674,Harry Potter and the Goblet of Fire,Mike Newell
8960,Hancock,Peter Berg
6479,I Am Legend,Francis Lawrence
118,Charlie and the Chocolate Factory,Tim Burton
2062,Ratatouille,Jan Pinkava
272,Batman Begins,Christopher Nolan
10527,Madagascar: Escape 2 Africa,Eric Darnell
18360,Night at the Museum: Battle of the Smithsonian,Shawn Levy
2080,X-Men Origins: Wolverine,Gavin Hood
605,The Matrix Revolutions,Lilly Wachowski
109445,Frozen,Chris Buck
604,The Matrix Reloaded,Lilly Wachowski
76338,Thor: The Dark World,Alan Taylor
76341,Mad Max: Fury Road,George Miller
13448,Angels & Demons,Ron Howard
10195,Thor,Kenneth Branagh
13053,Bolt,Chris Williams
19585,G-Force,Hoyt Yeatman
57165,Wrath of the Titans,Jonathan Liebesman
62213,Dark Shadows,Tim Burton
177677,Mission: Impossible - Rogue Nation,Christopher McQuarrie
7978,The Wolfman,Joe Johnston
5559,Bee Movie,Steve Hickner
49444,Kung Fu Panda 2,Jennifer Yuh Nelson
10196,The Last Airbender,M. Night Shyamalan
956,Mission: Impossible III,J.J. Abrams
117251,White House Down,Roland Emmerich
50321,Mars Needs Moms,Simon Wells
11619,Flushed Away,David Bowers
266647,Pan,Joe Wright
82703,Mr. Peabody & Sherman,Rob Minkoff
652,Troy,Wolfgang Petersen
80321,Madagascar 3: Europe's Most Wanted,Conrad Vernon
36669,Die Another Day,Lee Tamahori
43074,Ghostbusters,Paul Feig
95,Armageddon,Michael Bay
608,Men in Black II,Barry Sonnenfeld
2310,Beowulf,Robert Zemeckis
140300,Kung Fu Panda 3,Jennifer Yuh Nelson
56292,Mission: Impossible - Ghost Protocol,Brad Bird
81188,Rise of the Guardians,Peter Ramsey
7552,Fun with Dick and Jane,Dean Parisot
616,The Last Samurai,Edward Zwick
147441,Exodus: Gods and Kings,Ridley Scott
13475,Star Trek,J.J. Abrams
557,Spider-Man,Sam Raimi
82702,How to Train Your Dragon 2,Dean DeBlois
205584,Gods of Egypt,Alex Proyas
10048,Stealth,Rob Cohen
13183,Watchmen,Zack Snyder
944,Lethal Weapon 4,Richard Donner
1927,Hulk,Ang Lee
72559,G.I. Joe: Retaliation,Jon M. Chu
7364,Sahara,Breck Eisner
2114,Final Fantasy: The Spirits Within,Hironobu Sakaguchi
1771,Captain America: The First Avenger,Joe Johnston
36643,The World Is Not Enough,Michael Apted
8619,Master and Commander: The Far Side of the World,Peter Weir
50620,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon
65759,Happy Feet Two,George Miller
1724,The Incredible Hulk,Louis Leterrier
267935,The BFG,Steven Spielberg
281957,The Revenant,Alejandro González Iñárritu
77950,Turbo,David Soren
44896,Rango,Gore Verbinski
270946,Penguins of Madagascar,Eric Darnell
2503,The Bourne Ultimatum,Paul Greengrass
9502,Kung Fu Panda,Mark Osborne
102899,Ant-Man,Peyton Reed
101299,The Hunger Games: Catching Fire,Francis Lawrence
228161,Home,Tim Johnson
74,War of the Worlds,Steven Spielberg
8961,Bad Boys II,Michael Bay
417859,Puss in Boots,Chris Miller
27576,Salt,Phillip Noyce
86834,Noah,Darren Aronofsky
17578,The Adventures of Tintin,Steven Spielberg
673,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón
6972,Australia,Baz Luhrmann
82700,After Earth,M. Night Shyamalan
10567,Dinosaur,Ralph Zondag
181533,Night at the Museum: Secret of the Tomb,Shawn Levy
38055,Megamind,Tom McGrath
671,Harry Potter and the Philosopher's Stone,Chris Columbus
49524,R.I.P.D.,Robert Schwentke
22,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski
131631,The Hunger Games: Mockingjay - Part 1,Francis Lawrence
591,The Da Vinci Code,Ron Howard
172385,Rio 2,Carlos Saldanha
36658,X2,Bryan Singer
51497,Fast Five,Justin Lin
58574,Sherlock Holmes: A Game of Shadows,Guy Ritchie
18823,Clash of the Titans,Louis Leterrier
