budget,id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count,genres
237000000,19995,en,Avatar,150.437577,2009-12-10,2787965087,162.0,Avatar,7.2,11800,Action_Adventure_Fantasy_Science Fiction
300000000,285,en,Pirates of the Caribbean: At World's End,139.082615,2007-05-19,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,Adventure_Fantasy_Action
245000000,206647,en,Spectre,107.376788,2015-10-26,880674609,148.0,Spectre,6.3,4466,Action_Adventure_Crime
250000000,49026,en,The Dark Knight Rises,112.31295,2012-07-16,1084939099,165.0,The Dark Knight Rises,7.6,9106,Action_Crime_Drama_Thriller
260000000,49529,en,John Carter,43.926995,2012-03-07,284139100,132.0,John Carter,6.1,2124,Action_Adventure_Science Fiction
258000000,559,en,Spider-Man 3,115.699814,2007-05-01,890871626,139.0,Spider-Man 3,5.9,3576,Fantasy_Action_Adventure
260000000,38757,en,Tangled,48.681969,2010-11-24,591794936,100.0,Tangled,7.4,3330,Animation_Family
280000000,99861,en,Avengers: Age of Ultron,134.279229,2015-04-22,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,Action_Adventure_Science Fiction
250000000,767,en,Harry Potter and the Half-Blood Prince,98.885637,2009-07-07,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,Adventure_Fantasy_Family
250000000,209112,en,Batman v Superman: Dawn of Justice,155.790452,2016-03-23,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,Action_Adventure_Fantasy
270000000,1452,en,Superman Returns,57.925623,2006-06-28,391081192,154.0,Superman Returns,5.4,1400,Adventure_Fantasy_Action_Science Fiction
200000000,10764,en,Quantum of Solace,107.928811,2008-10-30,586090727,106.0,Quantum of Solace,6.1,2965,Adventure_Action_Thriller_Crime
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Adventure_Fantasy_Action
255000000,57201,en,The Lone Ranger,49.046956,2013-07-03,89289910,149.0,The Lone Ranger,5.9,2311,Action_Adventure_Western
225000000,49521,en,Man of Steel,99.398009,2013-06-12,662845518,143.0,Man of Steel,6.5,6359,Action_Adventure_Fantasy_Science Fiction
225000000,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,2008-05-15,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,Adventure_Family_Fantasy
220000000,24428,en,The Avengers,144.448633,2012-04-25,1519557910,143.0,The Avengers,7.4,11776,Science Fiction_Action_Adventure
380000000,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,2011-05-14,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Adventure_Action_Fantasy
225000000,41154,en,Men in Black 3,52.035179,2012-05-23,624026776,106.0,Men in Black 3,6.2,4160,Action_Comedy_Science Fiction
250000000,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,2014-12-10,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,Action_Adventure_Fantasy
215000000,1930,en,The Amazing Spider-Man,89.866276,2012-06-27,752215857,136.0,The Amazing Spider-Man,6.5,6586,Action_Adventure_Fantasy
200000000,20662,en,Robin Hood,37.668301,2010-05-12,310669540,140.0,Robin Hood,6.2,1398,Action_Adventure
250000000,57158,en,The Hobbit: The Desolation of Smaug,94.370564,2013-12-11,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,Adventure_Fantasy
180000000,2268,en,The Golden Compass,42.990906,2007-12-04,372234864,113.0,The Golden Compass,5.8,1303,Adventure_Fantasy
207000000,254,en,King Kong,61.22601,2005-12-14,550000000,187.0,King Kong,6.6,2337,Adventure_Drama_Action
200000000,597,en,Titanic,100.025899,1997-11-18,1845034188,194.0,Titanic,7.5,7562,Drama_Romance_Thriller
250000000,271110,en,Captain America: Civil War,198.372395,2016-04-27,1153304495,147.0,Captain America: Civil War,7.1,7241,Adventure_Action_Science Fiction
209000000,44833,en,Battleship,64.928382,2012-04-11,303025485,131.0,Battleship,5.5,2114,Thriller_Action_Adventure_Science Fiction
150000000,135397,en,Jurassic World,418.708552,2015-06-09,1513528810,124.0,Jurassic World,6.5,8662,Action_Adventure_Science Fiction_Thriller
200000000,37724,en,Skyfall,93.004993,2012-10-25,1108561013,143.0,Skyfall,6.9,7604,Action_Adventure_Thriller
200000000,558,en,Spider-Man 2,35.149586,2004-06-25,783766341,127.0,Spider-Man 2,6.7,4321,Action_Adventure_Fantasy
200000000,68721,en,Iron Man 3,77.68208,2013-04-18,1215439994,130.0,Iron Man 3,6.8,8806,Action_Adventure_Science Fiction
200000000,12155,en,Alice in Wonderland,78.530105,2010-03-03,1025491110,108.0,Alice in Wonderland,6.4,4645,Family_Fantasy_Adventure
210000000,36668,en,X-Men: The Last Stand,3.857526,2006-05-24,459359555,104.0,X-Men: The Last Stand,6.3,3525,Adventure_Action_Science Fiction_Thriller
200000000,62211,en,Monsters University,89.186492,2013-06-20,743559607,104.0,Monsters University,7.0,3528,Animation_Family
150000000,8373,en,Transformers: Revenge of the Fallen,21.939663,2009-06-19,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,Science Fiction_Action_Adventure
210000000,91314,en,Transformers: Age of Extinction,116.840296,2014-06-25,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,Science Fiction_Action_Adventure
200000000,68728,en,Oz: The Great and Powerful,46.985445,2013-03-07,491868548,130.0,Oz: The Great and Powerful,5.7,3530,Fantasy_Adventure_Family
200000000,102382,en,The Amazing Spider-Man 2,89.270217,2014-04-16,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,Action_Adventure_Fantasy
170000000,20526,en,TRON: Legacy,73.79505,2010-12-10,400062763,125.0,TRON: Legacy,6.3,2841,Adventure_Action_Science Fiction
200000000,49013,en,Cars 2,49.98659,2011-06-11,559852396,106.0,Cars 2,5.8,2033,Animation_Family_Adventure_Comedy
200000000,44912,en,Green Lantern,51.872839,2011-06-16,219851172,114.0,Green Lantern,5.1,2487,Adventure_Action_Thriller_Science Fiction
200000000,10193,en,Toy Story 3,59.995418,2010-06-16,1066969703,103.0,Toy Story 3,7.6,4597,Animation_Family_Comedy
200000000,534,en,Terminator Salvation,71.862892,2009-05-20,371353001,115.0,Terminator Salvation,5.9,2463,Action_Science Fiction_Thriller
190000000,168259,en,Furious 7,102.322217,2015-04-01,1506249360,137.0,Furious 7,7.3,4176,Action
200000000,72190,en,World War Z,81.834855,2013-06-20,531865000,116.0,World War Z,6.7,5560,Action_Drama_Horror_Science Fiction_Thriller
250000000,127585,en,X-Men: Days of Future Past,118.078691,2014-05-15,747862775,131.0,X-Men: Days of Future Past,7.5,6032,Action_Adventure_Fantasy_Science Fiction
190000000,54138,en,Star Trek Into Darkness,78.291018,2013-05-05,467365246,132.0,Star Trek Into Darkness,7.4,4418,Action_Adventure_Science Fiction
195000000,81005,en,Jack the Giant Slayer,43.349855,2013-02-27,197687603,114.0,Jack the Giant Slayer,5.5,2598,Action_Family_Fantasy
105000000,64682,en,The Great Gatsby,61.196071,2013-05-10,351040419,143.0,The Great Gatsby,7.3,3769,Drama_Romance
150000000,9543,en,Prince of Persia: The Sands of Time,62.169881,2010-05-19,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,Adventure_Fantasy_Action_Romance
180000000,68726,en,Pacific Rim,56.523205,2013-07-11,407602906,131.0,Pacific Rim,6.7,4794,Action_Science Fiction_Adventure
