pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_age,sy_dist
11 Com b,2,1,Radial Velocity,2007,Xinglong Station,323.21,1.178,12.2,4914.89849,,93.1846
11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,4684.8142,1.56,125.321
14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,0.775,13.1,1131.1513,4.5,75.4392
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,2.774,12.6,2559.47216,3.9,17.9323
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,13.5,565.7374,7.4,21.1397
17 Sco b,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,12.9,1373.01872,5.13,124.953
18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,2.476,12.5,2926.24614,1.1,76.222
1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,,330,18.647,3000,0.005,139.135
24 Boo b,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,0.194,13.9,280.64248,6.92,95.9863
24 Sex b,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,13.4,632.46,2.7,72.0691
24 Sex c,1,2,Radial Velocity,2010,Lick Observatory,883,2.08,13.9,273.32,2.7,72.0691
2M0437 b,1,1,Imaging,2021,Subaru Telescope,,118,13,1271.31363,2.5,128.484
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,Paranal Observatory,,84,12.3,4131.79,0.03,47.2
2MASS J01225093-2439505 b,1,1,Imaging,2013,W. M. Keck Observatory,,52,11.209,7786.5,0.12,33.8281
2MASS J02192210-3925225 b,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156,16.141,4417.837,0.035,40.0896412
2MASS J04414489+2301513 b,1,1,Imaging,2010,Hubble Space Telescope,,15,12.6,2383.6,0.001,120.423987
2MASS J12073346-3932539 b,1,1,Imaging,2004,Paranal Observatory,,55,12.9,1589.15,0.008,64.308
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,Kepler,406,0.92,13.4,603.877,,396.332
2MASS J22362452+4751425 b,1,1,Imaging,2016,W. M. Keck Observatory,,230,12.3,3972.875,0.12,69.5737
30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,12.3,4392.4106,0.91,44.657
4 UMa b,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,0.877,12.6,2511.48007,4.604,73.4603
42 Dra b,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1.19,13,1233.13,9.49,90.6545
